,created_at,author_id,id,text
30,2022-04-05T21:01:55.000Z,1316771008867688448,1511449076361011208,"Si je comprends bien on a oublié la baisse des impôts, du chômage, le quoi qu'il en coûte, le chômage partiel, les aides massives aux entreprises et aux restos, les tests et vaccins gratuits, l'organisation fantastique de la vaccination, les soins covid lourds gratuits. https://t.co/JwDXAZ0Cj9"
31,2022-04-05T21:01:54.000Z,1095234915468263424,1511449072548384776,"RT @totobrix2021: Donc le mec nous promet la faim, la guerre, les vaccins 4 fois par an, le pass de partout, la retraite à 70 ans (pour ceu…"
32,2022-04-05T21:01:54.000Z,1214273833839890433,1511449072464502799,"RT @totobrix2021: Donc le mec nous promet la faim, la guerre, les vaccins 4 fois par an, le pass de partout, la retraite à 70 ans (pour ceu…"
33,2022-04-05T21:01:52.000Z,2949447484,1511449060879872002,"RT @totobrix2021: Donc le mec nous promet la faim, la guerre, les vaccins 4 fois par an, le pass de partout, la retraite à 70 ans (pour ceu…"
34,2022-04-05T21:01:44.000Z,1476808633321152522,1511449027224735748,"RT @totobrix2021: Donc le mec nous promet la faim, la guerre, les vaccins 4 fois par an, le pass de partout, la retraite à 70 ans (pour ceu…"
35,2022-04-05T21:01:42.000Z,1481019692991062017,1511449022506344448,"RT @Songsa93: Si je comprends bien on a oublié la baisse des impôts, du chômage, le quoi qu'il en coûte, le chômage partiel, les aides mass…"
36,2022-04-05T21:01:42.000Z,1024718126812942336,1511449019914014721,RT @ChrisCottonStat: L'utilisation de ces vaccins en vie réelle a constitué une prise de risque sans précédent. Leur maintien depuis plus d…
37,2022-04-05T21:01:41.000Z,1476615116674240519,1511449018131529728,"RT @ChrisCottonStat: Voila la durée de suivi des participants des essais Covid,  c'est sur cette base que les vaccins ont été annoncés comm…"
38,2022-04-05T21:01:40.000Z,1387035045605437442,1511449013899440130,RT @dupontaignan: Je réclame à nouveau et d'urgence une commission d'enquête à l'Assemblée nationale pour faire toute la lumière sur les ef…
39,2022-04-05T21:01:40.000Z,1219351036105719809,1511449011529658370,"RT @Songsa93: Si je comprends bien on a oublié la baisse des impôts, du chômage, le quoi qu'il en coûte, le chômage partiel, les aides mass…"
40,2022-04-05T21:01:31.000Z,845941150032769025,1511448972778516484,"RT @totobrix2021: Donc le mec nous promet la faim, la guerre, les vaccins 4 fois par an, le pass de partout, la retraite à 70 ans (pour ceu…"
